yearID,H,X2B,X3B,HR,BB,SO
1970,33555,5235,927,3429,13727,22374
1971,32547,4931,808,2863,12536,20956
1972,30434,4652,746,2534,11727,20718
1973,34010,5224,790,3102,13100,20358
1974,33969,5206,847,2649,12963,19495
1975,33863,5443,887,2698,13402,19280
1976,33598,5240,966,2235,12391,18745
1977,38037,6441,1170,3644,13757,21722
1978,36508,6186,1020,2956,13566,20058
1979,37911,6415,1066,3433,13601,20035
1980,38144,6345,1076,3087,13190,20212
1981,24157,4000,659,1781,8868,13237
1982,37651,6316,964,3379,13302,21221
1983,37443,6463,1033,3301,13518,21716
1984,37381,6213,985,3258,13320,22500
1985,36778,6423,965,3602,13838,22451
1986,36880,6511,855,3813,14227,24706
1987,37895,6793,896,4458,14389,25099
1988,36244,6386,840,3180,12984,23355
1989,36293,6307,868,3083,13528,23650
1990,36817,6526,865,3317,13852,23853
1991,36558,6499,894,3383,13984,24390
1992,36544,6563,845,3038,13682,23538
1993,41088,7449,940,4030,15110,26310
1994,29743,5723,702,3306,11131,19766
1995,36975,6958,824,4081,14240,25425
1996,42320,7987,855,4962,16093,29308
1997,41471,8004,883,4640,15666,29937
1998,44489,8741,899,5064,16447,31893
1999,45327,8740,931,5528,17891,31119
2000,45246,8901,952,5693,18237,31356
2001,43879,8813,928,5458,15806,32404
2002,43272,8700,921,5059,16246,31394
2003,44057,8827,934,5207,15889,30801
2004,44522,8919,898,5451,16222,31828
2005,43991,8863,888,5017,15207,30644
2006,45073,9135,952,5386,15847,31655
2007,44977,9197,938,4957,16079,32189
2008,43972,9014,886,4878,16337,32884
2009,43524,8737,949,5042,16620,33591
2010,42554,8486,866,4613,15778,34306
2011,42267,8399,898,4552,15018,34488
2012,42063,8261,927,4934,14709,36426
2013,42093,8222,772,4661,14640,36710
2014,41595,8137,849,4186,14020,37441
2015,42106,8242,939,4909,14073,37446
2016,42276,8254,873,5610,15088,38982
2017,42215,8397,795,6105,15829,40104
2018,41018,8264,847,5585,15686,41207
2019,42039,8531,785,6776,15895,42823
2020,14439,2823,241,2304,6092,15586
2021,39484,7863,671,5944,15794,42145
2022,39675,7940,643,5215,14853,40812
